NGA,PolityID,PolityName,Year,Pop,Terr,Cap,Hierarchy,Government,Infrastructure,Information,Money,Metal,Project,Weapon,Armor,Animal,Defense,Cavalry,Iron,IronCav,Miltech,MSP,PC_1,PC_2,threadID,Target_NGA,Scale_1,Comp
Susiana,107,ir_achaemenid_emp,-500,7.361727836017593,6.711807229041191,5.301029995663981,6.5,0.990909090909091,0.9727272727272728,0.8866666666666667,0.8333333333333334,3.0,7.0,4.1,7.6,3.0,11.13333333333333,1.0,1.0,2.0,5.972222222222221,1.0,3.652134625722199,-0.1854936781038575,0,Kachi Plain,1.2242186911284945,0.946057335203264
Susiana,107,ir_achaemenid_emp,-400,7.414973347970818,6.608793373986931,5.301029995663981,6.5,0.990909090909091,0.9727272727272728,0.8866666666666667,0.8333333333333334,3.0,7.0,4.1,7.6,3.0,11.13333333333333,1.0,1.0,2.0,5.972222222222221,1.0,3.640707096233975,-0.1655066217367026,0,Kachi Plain,1.2029523141111649,0.946057335203264
Middle Ganga,87,in_mauryan_emp,-300,8.0,6.602059991327963,5.431363764158988,6.0,0.7272727272727273,0.9666666666666668,0.7200000000000001,0.8333333333333334,4.0,7.0,5.5,7.733333333333333,3.0,10.36666666666667,1.0,1.0,2.0,6.266666666666667,1.0,3.221762806837496,-0.4478857108540579,0,Kachi Plain,1.5607818711999428,0.40084139270979524
Middle Ganga,87,in_mauryan_emp,-200,8.0,6.602059991327963,5.431363764158988,6.0,0.7272727272727273,0.9666666666666668,0.7200000000000001,0.8333333333333334,4.0,7.0,5.5,7.733333333333333,3.0,10.36666666666667,1.0,1.0,2.0,6.266666666666667,1.0,3.221762806837496,-0.4478857108540579,0,Kachi Plain,1.560781871199943,0.40084139270979524
Susiana,125,ir_parthian_emp_1,-200,4.8750612633917,5.447158031342219,5.477121254719663,5.333333333333333,0.6777777777777777,0.9166666666666666,0.7933333333333333,0.8333333333333334,4.0,5.0,5.9,8.0,3.0,10.36666666666667,1.0,1.0,2.0,6.044444444444444,1.0,1.895964417219299,0.6049757593656936,0,Kachi Plain,-0.39147580326063103,0.380567246420533
Susiana,125,ir_parthian_emp_1,-100,6.736396502276643,6.301029995663981,5.477121254719663,5.333333333333333,0.6777777777777777,0.9166666666666666,0.7933333333333333,0.8333333333333334,4.0,5.0,5.9,8.0,3.0,10.36666666666667,1.0,1.0,2.0,6.044444444444444,1.0,2.639029248629344,-0.02903251274061788,0,Kachi Plain,0.8639562644360722,0.380567246420533
Susiana,125,ir_parthian_emp_1,0,6.736396502276643,6.301029995663981,5.477121254719663,5.333333333333333,0.6777777777777777,0.9166666666666666,0.7933333333333333,0.8333333333333334,4.0,5.0,5.9,8.0,3.0,10.36666666666667,1.0,1.0,2.0,6.044444444444444,1.0,2.639029248629344,-0.02903251274061788,0,Kachi Plain,0.8639562644360722,0.380567246420533
Sogdiana,127,af_kushan_emp,100,7.113943352306837,6.352182518111363,5.176091259055681,4.666666666666667,0.7777777777777778,0.8,0.7333333333333333,0.8333333333333334,4.0,5.4,5.9,8.0,3.0,10.83333333333333,1.0,1.0,2.0,6.188888888888889,1.0,2.423792569371715,-0.03802559059688711,0,Kachi Plain,0.8636496614852394,0.2659947452974952
Sogdiana,127,af_kushan_emp,200,7.161368002234975,6.352182518111363,5.0,4.666666666666667,0.7777777777777778,0.8,0.7333333333333333,0.8333333333333334,4.0,5.4,5.9,8.0,3.0,10.83333333333333,1.0,1.0,2.0,6.188888888888889,1.0,2.370470749939363,-0.00347065718061531,0,Kachi Plain,0.7687683166112383,0.2659947452974952
Sogdiana,127,af_kushan_emp,300,7.161368002234975,6.352182518111363,5.0,4.666666666666667,0.7777777777777778,0.8,0.7333333333333333,0.8333333333333334,4.0,5.4,5.9,8.0,3.0,10.83333333333333,1.0,1.0,2.0,6.188888888888889,1.0,2.370470749939363,-0.00347065718061531,0,Kachi Plain,0.7687683166112383,0.2659947452974952
Susiana,128,ir_sassanid_emp_1,300,6.698970004336019,6.423245873936808,5.0,6.5,0.4545454545454545,0.9818181818181819,0.4933333333333334,0.8333333333333334,4.0,7.0,3.9,8.0,3.0,7.633333333333333,1.0,0.9,1.9,5.588888888888889,1.0,2.146990351061031,-0.339991613515056,0,Kachi Plain,0.5839490023693422,-0.2107263012758035
Susiana,128,ir_sassanid_emp_1,400,6.698970004336019,6.498310553789601,5.397940008672037,6.5,0.4545454545454545,0.9818181818181819,0.4933333333333334,0.8333333333333334,4.0,7.0,3.9,8.0,3.0,7.633333333333333,1.0,0.9,1.9,5.588888888888889,1.0,2.316916624954944,-0.4623337854961571,0,Kachi Plain,0.8822732382427093,-0.2107263012758035
Susiana,130,ir_sassanid_emp_2,500,6.949390006644913,6.540954808926132,5.602059991327963,6.666666666666667,0.5181818181818182,0.99,0.7799999999999999,0.8333333333333334,4.0,7.0,3.9,8.0,3.0,11.33333333333333,1.0,0.9,1.9,6.205555555555556,1.0,2.933566172091019,-0.4058122875641046,0,Kachi Plain,1.1545137675272028,0.2692951877166772
Susiana,130,ir_sassanid_emp_2,600,7.103803720955957,6.444044795918076,5.698970004336019,6.666666666666667,0.6090909090909091,0.99,0.7799999999999999,0.8333333333333334,4.0,7.0,3.9,8.0,3.0,11.33333333333333,1.0,0.9,1.9,6.205555555555556,1.0,3.10458943801611,-0.3925973118894461,0,Kachi Plain,1.2478473892097115,0.3753808369046754
Southern Mesopotamia,131,sy_umayyad_cal,700,7.447158031342219,6.954242509439325,5.477121254719663,4.833333333333333,0.6363636363636364,0.990909090909091,0.9266666666666666,0.8333333333333334,4.0,8.0,3.0,7.0,3.0,10.33333333333333,1.0,1.0,2.0,5.888888888888888,1.0,3.114963368233648,-0.1541257777732701,0,Kachi Plain,1.4901380216582627,0.6106338007706665
Southern Mesopotamia,132,iq_abbasid_cal_1,800,7.447158031342219,6.919078092376074,5.845098040014257,6.0,0.4545454545454545,0.9833333333333334,0.9333333333333333,0.8333333333333334,4.0,7.0,4.0,7.6,3.0,10.0,1.0,1.0,2.0,5.933333333333334,1.0,3.228365169744032,-0.5159619820339706,0,Kachi Plain,1.7190783164812922,0.39801244206478237
Southern Mesopotamia,132,iq_abbasid_cal_1,900,7.0,6.0,5.954242509439325,6.0,0.4545454545454545,0.9833333333333334,0.9333333333333333,0.8333333333333334,4.0,7.0,4.0,7.6,3.0,10.0,1.0,1.0,2.0,5.933333333333334,1.0,2.908079176095584,-0.1774699973291842,0,Kachi Plain,1.1697319985095764,0.39801244206478237
Kachi Plain,98,in_mughal_emp,1600,8.113943352306837,6.585460729508501,5.602059991327963,5.666666666666667,0.9800000000000001,0.9,0.7333333333333333,0.8333333333333334,4.0,10.0,6.0,8.0,3.0,10.63333333333333,1.0,1.0,2.0,6.938888888888889,1.0,3.50157417384843,-0.3995292922834803,0,Kachi Plain,1.7202530818954347,0.6292791572946181
Kachi Plain,98,in_mughal_emp,1700,8.113943352306837,6.585460729508501,5.602059991327963,5.666666666666667,0.9800000000000001,0.9,0.7333333333333333,0.8333333333333334,4.0,10.0,6.0,8.0,3.0,10.63333333333333,1.0,1.0,2.0,6.938888888888889,1.0,3.50157417384843,-0.3995292922834803,0,Kachi Plain,1.7202530818954347,0.6292791572946181
Kachi Plain,98,in_mughal_emp,1800,8.113943352306837,6.585460729508501,5.602059991327963,5.666666666666667,0.9800000000000001,0.9818181818181819,0.7333333333333333,0.8333333333333334,4.0,10.0,6.0,8.0,3.0,10.63333333333333,1.0,1.0,2.0,6.938888888888889,1.0,3.609553036724896,-0.3192673016865797,0,Kachi Plain,1.7202530818954347,0.7334359764973795
